unit,dataset,metric,method_a,method_b,n,mean_a,mean_b,median_diff,W,p_raw,effect_rank_biserial,p_holm
slice,CQ500,iou,ViT,U-Net,799,0.03239768920158692,0.28819759467053396,-0.14867199696891475,39740.0,1.37294714417309e-75,-0.751314142678348,9.61063000921163e-75
slice,CQ500,iou,ViT,Chance,799,0.03239768920158692,0.008973980603075823,0.00618419295642525,59189.0,1.25221440510697e-53,0.6296057571964956,6.26107202553485e-53
slice,CQ500,iou,Hybrid,U-Net,799,0.028617932413817358,0.28819759467053396,-0.1427365365307196,24036.0,3.9786480957682294e-96,-0.8495869837296621,3.1829184766145836e-95
slice,CQ500,iou,Hybrid,Chance,799,0.028617932413817358,0.008973980603075823,-0.0004297200794098899,138286.0,0.000978153985542143,0.134630788485607,0.000978153985542143
slice,CQ500,iou,U-Net,Chance,799,0.28819759467053396,0.008973980603075823,0.16426467522978783,21634.0,1.7264342865194911e-99,0.8646182728410513,1.5537908578675422e-98
slice,CQ500,recall,CNN,ViT,799,0.04962076386597091,0.49320566834408663,-0.38185253739356995,6824.0,3.958440427515399e-93,-0.9332550860719875,3.166752342012319e-92
slice,CQ500,recall,CNN,Hybrid,799,0.04962076386597091,0.180685302872649,0.0,15641.0,3.996197445061573e-43,-0.7267494169338143,1.9980987225307865e-42
slice,CQ500,recall,CNN,U-Net,799,0.04962076386597091,0.3475416603304961,-0.12547528743743896,5270.0,9.030793416591934e-77,-0.9262137281668942,5.4184760499551605e-76
slice,CQ500,recall,CNN,Chance,799,0.04962076386597091,0.4981789366250044,-0.4831223487854004,434.0,2.1896744888962302e-131,-0.9972704660018931,2.18967448889623e-130
slice,CQ500,recall,ViT,Hybrid,799,0.49320566834408663,0.180685302872649,0.18987339735031128,3090.0,6.330812515501742e-95,0.9667285795041589,5.697731263951568e-94
slice,CQ500,recall,ViT,U-Net,799,0.49320566834408663,0.3475416603304961,0.10526315867900848,87117.0,4.1533314949803744e-13,0.31357454654332856,8.306662989960749e-13
slice,CQ500,recall,ViT,Chance,799,0.49320566834408663,0.4981789366250044,-0.030222207307815552,156402.5,0.8279482413201065,-0.008903252380273435,0.8279482413201065
slice,CQ500,recall,Hybrid,U-Net,799,0.180685302872649,0.3475416603304961,0.0,50662.5,6.493302688767014e-23,-0.4598247129194255,1.9479908066301042e-22
slice,CQ500,recall,Hybrid,Chance,799,0.180685302872649,0.4981789366250044,-0.45945945382118225,27401.5,4.186833221898207e-91,-0.827665147813071,2.930783255328745e-90
slice,CQ500,recall,U-Net,Chance,799,0.3475416603304961,0.4981789366250044,-0.25,80745.5,2.2745808082609586e-33,-0.4921714575019733,9.098323233043834e-33
slice,CQ500,precision,CNN,ViT,799,0.011434077462202576,0.034043656749153925,-0.0057279490865767,29882.0,3.498355672491793e-54,-0.707726917057903,2.099013403495076e-53
slice,CQ500,precision,CNN,Hybrid,799,0.011434077462202576,0.03394238104338866,0.0,16581.0,1.0372850409535732e-41,-0.7127338877338877,4.1491401638142927e-41
slice,CQ500,precision,CNN,U-Net,799,0.011434077462202576,0.4685522904910977,-0.4535045986995101,1336.0,3.8925878203185516e-86,-0.9813642070023714,3.8925878203185515e-85
slice,CQ500,precision,CNN,Chance,799,0.011434077462202576,0.009113942960887451,-0.0021123785991221666,99313.0,4.2749666747858277e-20,-0.37539582959909185,1.2824900024357484e-19
slice,CQ500,precision,ViT,Hybrid,799,0.034043656749153925,0.03394238104338866,0.0,83079.0,0.002567381597888225,0.13966168041381238,0.002567381597888225
slice,CQ500,precision,ViT,U-Net,799,0.034043656749153925,0.4685522904910977,-0.448951035970822,26511.0,1.035345350462117e-74,-0.7911105157823408,8.282762803696936e-74
slice,CQ500,precision,ViT,Chance,799,0.034043656749153925,0.009113942960887451,0.006473066750913858,59060.0,1.520816492457837e-53,0.6294867331030957,7.604082462289185e-53
slice,CQ500,precision,Hybrid,U-Net,799,0.03394238104338866,0.4685522904910977,-0.44886151561513543,8410.0,8.736419589174325e-85,-0.9103306357888452,7.862777630256892e-84
slice,CQ500,precision,Hybrid,Chance,799,0.03394238104338866,0.009113942960887451,-0.0004900609492324293,132413.0,3.424205411598864e-05,0.16930624433423985,6.848410823197728e-05
slice,CQ500,precision,U-Net,Chance,799,0.4685522904910977,0.009113942960887451,0.45546613389160484,49226.0,5.805341119278493e-64,0.6904054364267004,4.063738783494945e-63
slice,CQ500,ap,CNN,ViT,799,0.026822120229382802,0.06638336504652165,-0.0033080531284213066,69702.0,2.3343383611064866e-43,-0.5638172715894869,4.668676722212973e-43
slice,CQ500,ap,CNN,Hybrid,799,0.026822120229382802,0.050615395205200676,-0.0021071704104542732,58725.0,4.1545671898704464e-54,-0.6325093867334167,1.246370156961134e-53
slice,CQ500,ap,CNN,U-Net,799,0.026822120229382802,0.4525162413863584,-0.4872577413916588,20977.0,2.0285410905096867e-100,-0.8687296620775969,1.217124654305812e-99
slice,CQ500,ap,CNN,Chance,799,0.026822120229382802,0.009282590383115937,0.00620105117559433,5506.0,1.3763047065780437e-123,0.9655444305381727,1.101043765262435e-122
